Frame,Sim_Time,Active_Watts,Base100_Watts,Base70_Watts,Savings_vs_100,Savings_vs_70
351,7.8,400.0,400.0,280.0,0.0,-42.9
354,7.87,400.0,400.0,280.0,0.0,-42.9
357,7.93,400.0,400.0,280.0,0.0,-42.9
360,8.0,399.5,400.0,280.0,0.1,-42.7
363,8.07,399.0,400.0,280.0,0.2,-42.5
366,8.13,398.5,400.0,280.0,0.4,-42.3
369,8.2,398.0,400.0,280.0,0.5,-42.1
372,8.27,397.5,400.0,280.0,0.6,-42.0
375,8.33,397.0,400.0,280.0,0.8,-41.8
378,8.4,396.5,400.0,280.0,0.9,-41.6
381,8.47,396.0,400.0,280.0,1.0,-41.4
384,8.53,395.5,400.0,280.0,1.1,-41.2
387,8.6,395.0,400.0,280.0,1.2,-41.1
390,8.67,395.0,400.0,280.0,1.2,-41.1
393,8.73,395.0,400.0,280.0,1.2,-41.1
396,8.8,395.0,400.0,280.0,1.2,-41.1
399,8.87,395.0,400.0,280.0,1.2,-41.1
402,8.93,395.0,400.0,280.0,1.2,-41.1
405,9.0,395.0,400.0,280.0,1.2,-41.1
408,9.07,395.0,400.0,280.0,1.2,-41.1
411,9.13,395.0,400.0,280.0,1.2,-41.1
414,9.2,395.0,400.0,280.0,1.2,-41.1
417,9.27,395.0,400.0,280.0,1.2,-41.1
420,9.33,395.0,400.0,280.0,1.2,-41.1
423,9.4,395.0,400.0,280.0,1.2,-41.1
426,9.47,395.0,400.0,280.0,1.2,-41.1
429,9.53,395.0,400.0,280.0,1.2,-41.1
432,9.6,395.0,400.0,280.0,1.2,-41.1
435,9.67,395.0,400.0,280.0,1.2,-41.1
438,9.73,395.0,400.0,280.0,1.2,-41.1
441,9.8,395.0,400.0,280.0,1.2,-41.1
444,9.87,395.0,400.0,280.0,1.2,-41.1
447,9.93,395.0,400.0,280.0,1.2,-41.1
450,10.0,395.0,400.0,280.0,1.2,-41.1
453,10.07,395.5,400.0,280.0,1.1,-41.2
456,10.13,396.0,400.0,280.0,1.0,-41.4
459,10.2,396.5,400.0,280.0,0.9,-41.6
462,10.27,397.0,400.0,280.0,0.8,-41.8
465,10.33,397.5,400.0,280.0,0.6,-42.0
468,10.4,398.0,400.0,280.0,0.5,-42.1
471,10.47,398.5,400.0,280.0,0.4,-42.3
474,10.53,399.0,400.0,280.0,0.2,-42.5
477,10.6,399.5,400.0,280.0,0.1,-42.7
480,10.67,400.0,400.0,280.0,0.0,-42.9
483,10.73,400.0,400.0,280.0,0.0,-42.9
486,10.8,400.0,400.0,280.0,0.0,-42.9
489,10.87,400.0,400.0,280.0,0.0,-42.9
492,10.93,400.0,400.0,280.0,0.0,-42.9
495,11.0,400.0,400.0,280.0,0.0,-42.9
498,11.07,400.0,400.0,280.0,0.0,-42.9
501,11.13,400.0,400.0,280.0,0.0,-42.9
504,11.2,400.0,400.0,280.0,0.0,-42.9
507,11.27,400.0,400.0,280.0,0.0,-42.9
510,11.33,400.0,400.0,280.0,0.0,-42.9
513,11.4,400.0,400.0,280.0,0.0,-42.9
516,11.47,400.0,400.0,280.0,0.0,-42.9
519,11.53,400.0,400.0,280.0,0.0,-42.9
522,11.6,400.0,400.0,280.0,0.0,-42.9
525,11.67,400.0,400.0,280.0,0.0,-42.9
528,11.73,400.0,400.0,280.0,0.0,-42.9
531,11.8,398.5,400.0,280.0,0.4,-42.3
534,11.87,397.0,400.0,280.0,0.8,-41.8
537,11.93,395.5,400.0,280.0,1.1,-41.2
540,12.0,394.0,400.0,280.0,1.5,-40.7
543,12.07,392.5,400.0,280.0,1.9,-40.2
546,12.13,391.0,400.0,280.0,2.2,-39.6
549,12.2,389.5,400.0,280.0,2.6,-39.1
552,12.27,388.0,400.0,280.0,3.0,-38.6
555,12.33,386.5,400.0,280.0,3.4,-38.0
558,12.4,385.0,400.0,280.0,3.8,-37.5
561,12.47,385.0,400.0,280.0,3.8,-37.5
564,12.53,385.0,400.0,280.0,3.8,-37.5
567,12.6,385.0,400.0,280.0,3.8,-37.5
570,12.67,385.0,400.0,280.0,3.8,-37.5
573,12.73,385.0,400.0,280.0,3.8,-37.5
576,12.8,385.0,400.0,280.0,3.8,-37.5
579,12.87,385.0,400.0,280.0,3.8,-37.5
582,12.93,385.0,400.0,280.0,3.8,-37.5
585,13.0,385.0,400.0,280.0,3.8,-37.5
588,13.07,385.0,400.0,280.0,3.8,-37.5
591,13.13,385.0,400.0,280.0,3.8,-37.5
594,13.2,385.0,400.0,280.0,3.8,-37.5
597,13.27,385.0,400.0,280.0,3.8,-37.5
600,13.33,385.0,400.0,280.0,3.8,-37.5
603,13.4,384.5,400.0,280.0,3.9,-37.3
606,13.47,384.0,400.0,280.0,4.0,-37.1
609,13.53,383.5,400.0,280.0,4.1,-37.0
612,13.6,383.0,400.0,280.0,4.2,-36.8
615,13.67,383.0,400.0,280.0,4.2,-36.8
618,13.73,383.0,400.0,280.0,4.2,-36.8
621,13.8,383.0,400.0,280.0,4.2,-36.8
624,13.87,384.5,400.0,280.0,3.9,-37.3
627,13.93,386.0,400.0,280.0,3.5,-37.9
630,14.0,387.5,400.0,280.0,3.1,-38.4
633,14.07,389.0,400.0,280.0,2.8,-38.9
636,14.13,390.5,400.0,280.0,2.4,-39.5
